Price,Close,High,Low,Open,Volume,Signal
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2024-04-25,395.2908935546875,396.13291356518926,384.3843265310709,390.327954514582,40586500,1
2024-04-26,402.5024719238281,409.1197034555493,401.94773576133974,408.2975149317784,29694700,0
2024-04-29,398.4707336425781,402.50250195684066,395.43948573178295,401.4425476908758,19582100,0
2024-04-30,385.6720886230469,398.3815629989462,385.51361848485345,397.71784459298715,28781400,0
2024-05-01,391.2293701171875,397.9456678723463,386.6428661349504,388.92124454675456,23562500,1
2024-05-02,394.1021423339844,396.1725023827848,390.9421111461168,393.9238407560063,17709400,1
2024-05-03,402.8392639160156,403.32465048849417,398.0843437724287,398.50041099944804,17446700,1
2024-05-06,409.6546630859375,410.040983186617,402.5520143110461,404.91957397962835,16996600,1
2024-05-07,405.4941101074219,410.7740499032866,405.2464589410717,410.7641341827589,20018200,0
2024-05-08,406.6828308105469,408.356955043612,402.88879817126514,404.33510268855184,11792300,1
2024-05-09,408.44610595703125,408.8423417605904,405.2563578574711,406.71254786446275,14689700,1
2024-05-10,410.8433532714844,411.47735474348696,407.9309732500374,409.06027703547176,13402300,1
2024-05-13,409.8329162597656,414.41942017019113,406.9601691065583,414.0826182503801,15440200,0
2024-05-14,412.6462707519531,413.56752582141957,407.68333177957805,408.1489171745,15109300,1
2024-05-15,419.8609313964844,420.58538800605515,414.095139906024,414.7203513205961,22239500,1
2024-05-16,417.7868347167969,422.18315151911617,417.151719986036,418.59066930665216,17530100,0
2024-05-17,417.01275634765625,419.7021586835379,414.84935049574557,419.32504512881616,15352200,0
2024-05-20,422.1037292480469,423.52284159685394,416.7944295178616,417.0127568242458,16272100,1
2024-05-21,425.7756042480469,429.6756950854867,421.6174819616407,423.58239750259565,21453300,1
2024-05-22,427.24432373046875,429.1199579656232,423.8801327186548,426.8176027078419,18073700,1
2024-05-23,423.7511291503906,430.3009184683396,422.183164058962,429.6757070386861,17211700,0
2024-05-24,426.8870544433594,427.7802005755344,421.180804345367,423.93965100741593,11845800,1
2024-05-28,427.0458679199219,427.54206361225715,423.3541707575322,426.3611154416687,15718000,1
2024-05-29,425.90460205078125,427.6611238088633,422.4510693064345,422.4510693064345,15517100,1
2024-05-30,411.51495361328125,421.07165731955763,411.08820229599854,421.07165731955763,28424800,0
2024-05-31,411.9714660644531,413.5791353622515,401.43227374743395,413.5791353622515,47995300,0
2024-06-03,410.3736877441406,413.2615504010757,405.80871145548105,412.36840418309373,17484700,0
2024-06-04,412.904296875,413.27147684716857,406.56290129495756,409.2919776436919,14348900,1
2024-06-05,420.78387451171875,420.8533188907335,413.1325152430589,414.6310359031759,16988000,1
2024-06-06,421.28997802734375,422.07397569799485,417.3799535645987,420.7838790172518,14861300,1
2024-06-07,420.6250915527344,423.03659533238357,419.78155282449774,422.9572173477245,13621700,0
2024-06-10,424.6145324707031,424.822926199028,420.66483381160936,421.46866847767535,14003000,1
2024-06-11,429.38787841796875,429.5268277427762,422.01441801832095,422.24267892962746,14551100,1
2024-06-12,437.70416259765625,440.02635491441,429.95358793616725,432.00784546900513,22366200,1
2024-06-13,438.2201843261719,440.01644063600304,436.02700779586485,437.49575798146077,15960600,1
2024-06-14,439.2026672363281,439.7683376003339,433.39717151476515,434.94529966913103,13582000,1
2024-06-17,444.9585266113281,447.5089797746042,437.3667384679764,439.22250553797545,20790000,1
2024-06-18,442.9439392089844,446.71504440535955,441.50498996272177,446.2882931198359,17112500,0
2024-06-20,442.308837890625,443.1325093875715,437.9125211824865,442.90424847377636,19877400,0
2024-06-21,446.3577880859375,447.1516890658263,443.112679216781,443.9760548608899,34486200,1
2024-06-24,444.2638854980469,449.3052206448714,443.0134626029418,446.37765380757656,15913700,0
2024-06-25,447.5188903808594,447.98531552571586,443.3508346061679,444.8394216277891,16747500,1
2024-06-26,448.7196960449219,450.14874207415585,444.7799010019638,445.5837356077352,16507000,1
2024-06-27,449.4044494628906,452.6991961641024,448.3326497960473,448.73953390240615,14806300,1
2024-06-28,443.5493469238281,451.9151991305475,443.0134470896372,449.6227774267188,28362300,0
